square_id,model,MAE,RMSE,MAPE_%,sMAPE_%,R2,n,mape_excluded_%
5161,SeasonalNaive,338.59371733287026,619.0400403355861,25.93976947394088,22.828101669139965,0.7934483880597826,1008,0.0
5161,SARIMA,106.1042003130045,160.9076110378666,10.031178319836618,9.81756157646991,0.986044535984431,1008,0.0
5161,LSTM,86.18704261683392,133.45400586652323,7.978014528958859,7.853768734738638,0.9904003734951279,1008,0.0
5161,TCN,83.3467946536138,124.25384788649197,8.281649786742916,7.924644743862673,0.9916783240361264,1008,0.0
5059,SeasonalNaive,171.73573775518508,245.87017559786167,18.01854238394147,16.620998204311753,0.9313246293883314,1008,0.0
5059,SARIMA,88.18730037648112,127.73108520479121,8.483866257061418,8.368232603820914,0.9814654300837461,1008,0.0
5059,LSTM,67.28725206581072,97.10369834218432,6.7555553441386875,6.614838554726987,0.9892882395716414,1008,0.0
5059,TCN,68.44637102255197,98.54304813630294,6.500093238144548,6.393604461997933,0.9889683292229449,1008,0.0
5259,SeasonalNaive,470.32052138495067,861.6205808165246,71.62103016969029,42.612690021997544,0.40934198091916063,1008,0.0
5259,SARIMA,81.54797614640974,123.31619837420668,8.569910791481556,8.491224675090992,0.9879011461152861,1008,0.0
5259,LSTM,64.83984318472295,93.28587313641334,7.064575168611456,6.965126893818328,0.9930763399170093,1008,0.0
5259,TCN,62.96082541297792,93.6658017254582,6.7284686828464935,6.532268775154885,0.993019828615257,1008,0.0
