epoch,train_loss,val_loss
1,0.314332038779427,0.04175873136236554
2,0.03572532935095979,0.017956168139501225
3,0.029680186899395677,0.015650684457449687
4,0.028059808811446926,0.016261049354123692
5,0.02759799579376573,0.014513255244800969
6,0.026000536128028377,0.013373310589009807
7,0.025408376903236808,0.01261649773057018
8,0.024043021550228645,0.013562302873839461
9,0.02402709644880739,0.012670624528139357
10,0.02350041436943206,0.01197976361782778
11,0.02321613593412949,0.011452959673035713
12,0.02307084566905155,0.011748181330779242
13,0.023120265308622125,0.010791142737226827
14,0.0222112792613986,0.011152568790647719
15,0.022026766052430456,0.011117088771055616
16,0.022858172269152092,0.01336189592996287
17,0.0218498634828909,0.010599123151411139
18,0.021318894192889647,0.010816604120745546
19,0.021569318923953775,0.01054163294888678
20,0.021753814944007376,0.011241886217797559
21,0.02244046360097669,0.010353351381444742
22,0.021454254970759958,0.010399263884340013
23,0.021361510434352957,0.010872179731017067
24,0.02186752170011088,0.011029303694764772
25,0.02168186458649936,0.010260941534643136
26,0.021118203340260475,0.01081020234241372
27,0.021073544834245433,0.010430734441985213
28,0.021268320580323536,0.010800316767205321
29,0.021293270169525175,0.010249403674924185
30,0.021089305483118014,0.010432670632052042
31,0.02096123223727172,0.011413994156533764
32,0.020782857445311977,0.01033988164826518
33,0.021218266198271746,0.010807116057664629
34,0.02071168200412133,0.010139624558625713
35,0.0203835643022447,0.01009511212921805
36,0.020457216401447403,0.010801396258766688
37,0.020325302068065775,0.01001722522316471
38,0.020209039413221965,0.010635532039616789
39,0.020559968790402998,0.010087448039225169
40,0.020573951024282444,0.010120782262039564
41,0.020485888621224475,0.010315333522619709
42,0.02013071619992231,0.01003794777133162
43,0.020347077729510474,0.009938295073215924
44,0.020213764160871506,0.009884319696871062
45,0.020117045287881885,0.01002308992402894
46,0.020194635499973555,0.01015286845347238
47,0.02013419594828252,0.009903439084097507
48,0.020139653291609196,0.009961649272886534
49,0.0200977086819507,0.010018488806154992
50,0.020061196753749618,0.009901702389239318
51,0.019935494076248044,0.009854139848833992
52,0.019920721183063927,0.0098353023271239
53,0.020054225197380728,0.010015173785624996
54,0.01998274435230472,0.009863698441121314
55,0.01990746871173919,0.009935103578581697
56,0.01995360373041114,0.009844851236613024
57,0.019996877871565632,0.009980128811938422
58,0.019968490175030253,0.00990979340932672
59,0.01997481402871129,0.00984911582181378
60,0.019926423022338935,0.009864318672390212
