epoch,train_loss,val_loss
1,0.09420657319550936,0.01634737980803327
2,0.030519890529033658,0.015496996689646964
3,0.029361921208756823,0.015850737897886172
4,0.027763867029198655,0.015826976636335963
5,0.027238485501245694,0.013893963177762335
6,0.02631279763516721,0.01284368857297869
7,0.02612024384575921,0.013744086411500734
8,0.02570913596688448,0.01427303347736597
9,0.024998256410877627,0.013935548889022025
10,0.025304967660579953,0.013268617395725515
11,0.024618211126810795,0.01303148362046433
12,0.023998090007283666,0.013123843153672559
13,0.023893675394915603,0.012685804117825768
14,0.02371280450183708,0.013265309737078727
15,0.023382675182353985,0.012951074463744012
16,0.023576566541159118,0.013133833317884378
17,0.022940517680065053,0.013382799450367217
18,0.022884902591864625,0.013121570800504988
19,0.02283764650692811,0.012732724407835612
20,0.02272458053991064,0.012622031279736094
21,0.022592128914509627,0.013172918708906287
22,0.02271940172635936,0.013200016854892648
23,0.022505383256140415,0.01340395337828095
24,0.022472207386930426,0.013013521918938273
25,0.02236635830846277,0.013456285842472599
26,0.022364549439501117,0.013018113161836351
27,0.02228944926514282,0.013170966937664955
28,0.021982005436543946,0.013135576931138834
